Job number,Brand,Project title,Project description,Client,Start date,Delivery date,Actioned by,Comments,PPI job reference
341,Kings,London Student House Flyers,Flyers/Posters for the two student houses in London (Based on job 110),NA,05/09/2011,12/09/2011,,,
342,Kings,Kings LA badges,For the Extend Your Course promo. Tie in with posters?,AM,07/09/2011,19/09/2011,JA/EC,JA chase AM. Can we drop these from schedule?,
343,Kings,Updated summer camp flyers,,AG,09/09/2011,,JA/EC,,
344,Kings,2012 Overview flyer,English language version of overview,AH,12/09/2011,,,All done?,
345,Kings Boston,Kings Boston signage,Temporary and permanent (Jan 12),AG,13/09/2011,03/01/2012,JA/EC,,
346,Kings,2012 Materials Request Form,"Update of last year to include all new publications, delete all old (not UK Academic) and add new Colleges. Form to have fields for filling in (added in Acrobat). Update of J.203 (ADD JOB NUMBER!!)",AG,13/09/2011,17/09/2011,JA/EC,,
347,Kings Oxford,"Kings Oxford signage, Alfred Street",new signage for St Michaels annex. Installation w/c 3 October,AG,14/09/2011,07/10/2011,JA/EC,,
348,Kings,Pie web ad,,AG,27/09/2011,28/09/2011,JA,,
349,Kings,London Annexe Signage,New signage for London annexe,VI,03/11/2011,03/01/2012,JA/EC,,
350,Kings,Experimento voucher,"Excursion voucher for Experimento, with numbers. How many?",JC,06/10/2011,21/10/2011,EC,,
351,Kings,Kings Oxford map,Town centre map for KO,SF,06/10/2011,07/10/2011,JA,,
352,Kings,Albania materials,Section of print/video for Albania marketing trip,NA,11/10/2011,15/11/2011,WMS/JA,,
353,Kings,Canisius proposal,,JF,11/10/2011,17/10/2011,AG,,
354,Kings,Study DIY ad,New ad for Tomo,TY,06/10/2011,14/10/2011,JA,,
355,Kings,Updated uni destinations,Add 2011 data to existing chart,AH,17/10/2011,25/10/2011,EC,,
356,Kings,A4 Arabic overview,Create simple A4 doc for Knowledge Well agency,JC,26/09/2011,26/10/2011,JA,,
357,Kings,Summer prices/app insert,,AG,17/10/2011,27/10/2011,JA,,
358,Kings,Star Education Fair ad,,AH,19/10/2011,15/12/2011,EC,,
359,Kings,Ofsted documents,Rebrand  and format existing documents for ofsted appliocaiton,NN,19/10/2011,15/12/2011,JA,,
360,Kings,Leeds Scholarship,Upload content to Kings website,AH,21/10/2011,21/10/2011,JA/WMS,,
361,Kings,Intellectual Olympiad Video,Introductory video address for Andrew Hutchinson,AH,21/10/2011,04/11/2011,WMS,,
362,Kings,Boston Promo Flyer,Standard promotional flyer for Boston (for Tomo),TY,28/10/2011,28/10/2011,EC,,
363,Kings,London Redevelopment Consultation,Flyer to go through doors of houses local to London College,NP,,28/10/2011,EC,Sent to print,
364,Kings,Boston Promo Flyer,Incentive flyer for special offer to launch Boston,JC,08/11/2011,14/11/2011,JA,,
365,Kings,UK Academic brochure 2012-13,,AG,08/11/2011,16/12/2011,JA/EC,,
366,Kings,UK Academic outer 2012-13,,AG,08/11/2011,16/12/2011,JA/EC,,
367,Kings,UK staff handbook,Brand and publish (format TBC) handbook for all current and future staff,NP,15/11/2011,16/12/2011,EC,,
368,Kings,STB Fam trip gift boxes,Label design for gift boxes for STB,JC,14/11/2011,25/11/2011,JA/EC,,
369,Kings,Dry transfers,,JA,15/11/2011,15/11/2011,JA,,
370,Kings,JNS Brochure advert,Full page advert for Kuwaiti magazine (info supply only),JC,15/11/2011,02/12/2011,JA/EC,,
371,Kings,HIT magazine ad,Full page ad focussing on US pathways with mention of UK,JC,16/11/2011,02/12/2011,JA/EC,,
372,Kings,Study International web ad,5 x 5 cm ad for parter site - US Pathways ,AH,21/11/2011,09/12/2011,JA,,
373,Kings,GEN brochure ad,A5 full colour ad. Focus on UK/USA Academic offering,DF,23/11/2011,16/01/2012,JA/EC,,
374,Kings,Korean brochure ads,"3 x A4 ads for Korean agent brochures. 1 x US focus, 1 x UK focus and 1 x general.",KH,18/11/2011,09/12/2011,JA/EC,,
375,Kings,STM February 2012 — print,Print ad. UK academic focus.,AG,29/11/2011,02/12/2011,JA/AG,,
376,Kings,STM February 2012 — Video tie-in,Video tie in to job 375,AG,29/11/2011,20/01/2012,JA/WMS,,
377,Kings,ESL student testimonials,monthly co-branded pdf testimonials and facebook entry,AH,,06/12/2012,JA,,
378,Kings,Polish agent ad,General overview ad for Polish agent publication. No academic.,NA,30/11/2011,06/12/2012,EC,,
379,Kings,ESL Agent Boxes,Labels and other bits for ESL trip,AH,30/11/2011,02/12/2011,EC,,
380,Kings,Michael Jayakar leaving artwork,Framed artwork gift,SF,05/11/2011,16/12/2011,All!,,
